toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source
Snake Venom Metalloproteinase,Linear,1.08,CDR-H3,J3SDW8.1,9MIB_H,real
Snake Venom Metalloproteinase,Conformational,9.25,Multiple CDRs,U5PZ28.1,4V1D_D,real
Snake Venom Metalloproteinase,Mixed,10.04,CDR-H3,J3SBP9.1,9CLP_L,real
Phospholipase A2,Conformational,2.78,CDR-H3,AAB28455.1,6IOM_B,real
Disintegrin,Specific,7.7,C-terminal Region,SYN_TOX_DIS_69,SYN_MAB_13_H,synthetic
Snake Venom Serine Protease,Conformational,1.26,CDR-H3,Q9I8X1.2,4V1D_D,real
Snake Venom Serine Protease,Conformational,4.07,CDR-H3,P0DJF5.1,9B7V_H,real
Phospholipase A2,Conformational,7.97,Multiple CDRs,AAB36471.1,9MI0_P,real
Phospholipase A2,Mixed,30.19,CDR-H3,XCA51353.1,8SXP_H,real
Snake Venom Metalloproteinase,Linear,4.67,CDR-H3,A2TK72.1,9MI0_P,real
Snake Venom Metalloproteinase,Linear,0.6,CDR-H3,P0DQT6.1,8SXP_L,real
Snake Venom Serine Protease,Linear,47.31,CDR-H3,Q27J47.1,9CLP_C,real
Snake Venom Metalloproteinase,Linear,43.38,Multiple CDRs,Q698K8.3,4V1D_D,real
Phospholipase A2,Specific,21.8,Calcium Binding Loop,SYN_TOX_PLA2_197,SYN_MAB_141_H,synthetic
Phospholipase A2,Linear,20.22,Multiple CDRs,XCA51265.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Conformational,1.88,CDR-H3,KAG8124483.1,NP_000602.1,real
Snake Venom Metalloproteinase,Conformational,5.61,CDR-H3,P0DQT6.1,9MIA_L,real
Snake Venom Serine Protease,Linear,0.86,Multiple CDRs,B0FXM1.1,4V1D_A,real
Snake Venom Serine Protease,Conformational,31.4,CDR-H3,E5L0E4.1,9CLP_L,real
Snake Venom Metalloproteinase,Conformational,5.76,Multiple CDRs,Q9PW36.1,9MIA_R,real
Cysteine-Rich Secretory Protein,Mixed,5.75,CDR-H3,XP_026547764.1,6ION_A,real
Cysteine-Rich Secretory Protein,Conformational,14.5,Multiple CDRs,XP_026546646.1,4V1D_D,real
Snake Venom Serine Protease,Conformational,10.63,CDR-H3,P84787.1,6ION_A,real
Snake Venom Metalloproteinase,Linear,2.75,Multiple CDRs,J3S829.1,4V1D_A,real
Snake Venom Metalloproteinase,Linear,2.5,CDR-H3,J3S830.1,9CLP_H,real
Snake Venom Serine Protease,Linear,39.7,Multiple CDRs,P0CG03.1,9CU6_K,real
Three-Finger Toxin,Broad-spectrum,478.7,Multiple epitopes,SYN_TOX_3FTx_122,SYN_MAB_91_H,synthetic
Three-Finger Toxin,Broad-spectrum,94.6,Multiple epitopes,SYN_TOX_3FTx_3,SYN_MAB_61_H,synthetic
Snake Venom Metalloproteinase,Conformational,12.34,CDR-H3,U5PZ28.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Linear,1.52,CDR-H3,XP_039190751.1,1CDR_A,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,184.1,Multiple epitopes,SYN_TOX_KSPI_124,SYN_MAB_40_H,synthetic
Cysteine-Rich Secretory Protein,Linear,14.95,CDR-H3,XP_039204466.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Conformational,1.77,Multiple CDRs,XP_034288380.1,4V1D_A,real
Snake Venom Serine Protease,Specific,5.8,Exosite,SYN_TOX_SVSP_4,SYN_MAB_93_H,synthetic
Kunitz-type Serine Protease Inhibitor,Specific,1.4,Inhibitory Loop,SYN_TOX_KSPI_19,SYN_MAB_96_H,synthetic
Snake Venom Serine Protease,Mixed,6.33,CDR-H3,E5L0E3.1,4V1D_D,real
Disintegrin,Mixed,4.9,CDR-H3,AAB22477.1,1CDR_A,real
Phospholipase A2,Mixed,9.39,CDR-H3,AAB33759.1,9CLP_H,real
Disintegrin,Specific,24.0,RGD Motif,SYN_TOX_DIS_132,SYN_MAB_148_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,5.26,CDR-H3,KAG8124483.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Mixed,17.18,Multiple CDRs,XP_039185515.1,6IOM_A,real
Snake Venom Metalloproteinase,Conformational,19.51,Multiple CDRs,P82942.1,NP_001455.3,real
Cysteine-Rich Secretory Protein,Conformational,6.19,Multiple CDRs,XP_026547764.1,8SXP_H,real
Snake Venom Serine Protease,Specific,22.0,Substrate Binding Site,SYN_TOX_SVSP_88,SYN_MAB_103_H,synthetic
Snake Venom Serine Protease,Conformational,16.06,Multiple CDRs,C0HK19.1,9MIA_L,real
Cysteine-Rich Secretory Protein,Mixed,4.98,CDR-H3,KAG8124480.1,1CDQ_A,real
Snake Venom Serine Protease,Conformational,1.16,Multiple CDRs,B0FXM2.1,9MIA_R,real
Cysteine-Rich Secretory Protein,Linear,4.35,CDR-H3,XP_034288378.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Mixed,2.31,CDR-H3,Q0NZX6.1,NP_001424713.1,real
Snake Venom Metalloproteinase,Mixed,15.11,Multiple CDRs,V5TBK6.1,6ION_A,real
Snake Venom Serine Protease,Mixed,7.4,Multiple CDRs,Q9PT51.1,4V1D_D,real
Disintegrin,Specific,9.7,RGD Motif,SYN_TOX_DIS_48,SYN_MAB_148_H,synthetic
Cysteine-Rich Secretory Protein,Linear,31.28,CDR-H3,CAP74089.1,Q9HCN6.4,real
Disintegrin,Linear,5.6,Multiple CDRs,AAB22477.1,1CDQ_A,real
Snake Venom Serine Protease,Linear,2.91,Multiple CDRs,Q2PQJ3.1,P13987.1,real
Cysteine-Rich Secretory Protein,Conformational,10.3,Multiple CDRs,AAL54918.1,6ION_A,real
Snake Venom Serine Protease,Linear,20.3,Multiple CDRs,Q8UUJ1.2,4V1D_B,real
Disintegrin,Mixed,13.19,CDR-H3,AAB27210.1,9CLP_C,real
Snake Venom Metalloproteinase,Conformational,3.79,Multiple CDRs,Q90ZI3.1,P00740.2,real
Snake Venom Serine Protease,Linear,44.7,Multiple CDRs,D8MIA1.1,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,3.57,Multiple CDRs,V5TBK6.1,NP_001424713.1,real
Phospholipase A2,Mixed,6.79,Multiple CDRs,XCA51350.1,1CDR_A,real
Snake Venom Metalloproteinase,Mixed,15.52,CDR-H3,Q698K8.3,8SXP_L,real
Snake Venom Metalloproteinase,Conformational,12.76,CDR-H3,P17347.3,4V1D_D,real
Three-Finger Toxin,Specific,20.3,Loop I,SYN_TOX_3FTx_87,SYN_MAB_78_H,synthetic
Snake Venom Metalloproteinase,Mixed,10.08,CDR-H3,Q90ZI3.1,1CDQ_A,real
Three-Finger Toxin,Broad-spectrum,255.6,Multiple epitopes,SYN_TOX_3FTx_24,SYN_MAB_117_H,synthetic
Snake Venom Serine Protease,Conformational,26.02,Multiple CDRs,P0DJF6.1,6IOM_A,real
Snake Venom Serine Protease,Mixed,24.91,Multiple CDRs,P85109.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,35.94,Multiple CDRs,F8S108.1,Q9HCN6.4,real
Phospholipase A2,Linear,6.02,Multiple CDRs,XCA51350.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,4.46,Multiple CDRs,P0DM89.1,NP_001265042.1,real
Snake Venom Metalloproteinase,Conformational,16.15,CDR-H3,Q0NZX6.1,1CDQ_A,real
Snake Venom Metalloproteinase,Mixed,3.3,Multiple CDRs,Q0NZX6.1,9MIA_N,real
Disintegrin,Linear,26.14,CDR-H3,P34182.1,9CLP_L,real
Snake Venom Serine Protease,Mixed,14.35,CDR-H3,P0CJ41.1,6IOM_B,real
Snake Venom Serine Protease,Conformational,5.98,Multiple CDRs,Q8UUJ2.2,4V1D_E,real
Snake Venom Serine Protease,Conformational,10.84,Multiple CDRs,P84788.1,Q9HCN6.4,real
Snake Venom Serine Protease,Linear,6.18,Multiple CDRs,C0HK19.1,P00740.2,real
Snake Venom Metalloproteinase,Linear,5.89,CDR-H3,Q9PW36.1,NP_001265042.1,real
Cysteine-Rich Secretory Protein,Conformational,6.16,Multiple CDRs,XP_032069584.1,6ION_A,real
Snake Venom Serine Protease,Linear,9.23,Multiple CDRs,Q8UUJ1.2,1CDS_A,real
Snake Venom Metalloproteinase,Conformational,66.31,CDR-H3,P0DM87.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,3.32,CDR-H3,C0HM67.1,NP_001265042.1,real
Cysteine-Rich Secretory Protein,Conformational,5.2,CDR-H3,XP_013911763.1,9CLP_C,real
Snake Venom Serine Protease,Mixed,20.13,Multiple CDRs,E5L0E3.1,1CDQ_A,real
Snake Venom Metalloproteinase,Conformational,0.93,Multiple CDRs,P0DM89.1,9MI0_N,real
Three-Finger Toxin,Specific,21.0,Loop II,SYN_TOX_3FTx_94,SYN_MAB_76_H,synthetic
Phospholipase A2,Linear,21.19,CDR-H3,XCA51353.1,4V1D_A,real
Snake Venom Metalloproteinase,Conformational,4.71,Multiple CDRs,F8RKW0.1,NP_001265043.1,real
Disintegrin,Mixed,2.22,CDR-H3,AAB22477.1,9MI0_K,real
Disintegrin,Linear,2.2,CDR-H3,AAB30855.1,4V1D_E,real
Phospholipase A2,Specific,9.6,Hydrophobic Channel,SYN_TOX_PLA2_29,SYN_MAB_122_H,synthetic
Snake Venom Serine Protease,Mixed,26.15,CDR-H3,A8QL57.1,9CLP_L,real
Disintegrin,Mixed,69.4,Multiple CDRs,ABD34835.1,6IOM_B,real
Snake Venom Serine Protease,Conformational,3.51,CDR-H3,P0CJ41.1,1CDR_A,real
Snake Venom Metalloproteinase,Mixed,4.04,Multiple CDRs,A8QL59.1,NP_001265043.1,real
Disintegrin,Broad-spectrum,320.6,Multiple epitopes,SYN_TOX_DIS_118,SYN_MAB_91_H,synthetic
Disintegrin,Specific,19.2,RGD Motif,SYN_TOX_DIS_125,SYN_MAB_23_H,synthetic
Snake Venom Serine Protease,Linear,29.42,Multiple CDRs,NP_001310176.1,6ION_A,real
Snake Venom Serine Protease,Conformational,14.78,CDR-H3,Q9PT51.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Mixed,1.16,CDR-H3,AAL54918.1,9MIB_R,real
Snake Venom Serine Protease,Specific,31.1,Catalytic Triad,SYN_TOX_SVSP_74,SYN_MAB_58_H,synthetic
Cysteine-Rich Secretory Protein,Linear,18.03,Multiple CDRs,XP_026568634.1,9CLP_C,real
Disintegrin,Mixed,4.84,CDR-H3,AAB30855.1,9MI0_R,real
Cysteine-Rich Secretory Protein,Broad-spectrum,243.2,Multiple epitopes,SYN_TOX_CRISP_49,SYN_MAB_18_H,synthetic
Kunitz-type Serine Protease Inhibitor,Conformational,39.01,CDR-H3,AEI52542.1,1CDR_A,real
Snake Venom Serine Protease,Mixed,2.69,CDR-H3,E0Y421.1,1CDS_A,real
Snake Venom Serine Protease,Conformational,9.13,CDR-H3,A7LAC7.1,P13987.1,real
Snake Venom Serine Protease,Mixed,2.14,Multiple CDRs,NP_001310176.1,4V1D_E,real
Snake Venom Metalloproteinase,Mixed,21.03,CDR-H3,P0C6R9.2,1CDS_A,real
Snake Venom Serine Protease,Conformational,17.6,Multiple CDRs,P85109.1,9CLP_L,real
Snake Venom Serine Protease,Mixed,30.82,Multiple CDRs,P0CG03.1,9MI0_P,real
Disintegrin,Specific,12.7,C-terminal Region,SYN_TOX_DIS_167,SYN_MAB_3_H,synthetic
Disintegrin,Specific,30.5,C-terminal Region,SYN_TOX_DIS_153,SYN_MAB_6_H,synthetic
Snake Venom Metalloproteinase,Linear,8.15,Multiple CDRs,J3S829.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Linear,7.22,Multiple CDRs,KAG8124478.1,6ION_A,real
Phospholipase A2,Mixed,2.84,CDR-H3,AAB24834.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Linear,6.94,Multiple CDRs,AAL54896.1,6ION_A,real
Snake Venom Serine Protease,Conformational,7.41,CDR-H3,A7LAC7.1,9CU6_E,real
Snake Venom Metalloproteinase,Broad-spectrum,405.6,Multiple epitopes,SYN_TOX_SVMP_114,SYN_MAB_139_H,synthetic
Snake Venom Serine Protease,Broad-spectrum,37.8,Multiple epitopes,SYN_TOX_SVSP_109,SYN_MAB_61_H,synthetic
Phospholipase A2,Broad-spectrum,36.5,Multiple epitopes,SYN_TOX_PLA2_8,SYN_MAB_86_H,synthetic
Phospholipase A2,Broad-spectrum,146.2,Multiple epitopes,SYN_TOX_PLA2_141,SYN_MAB_119_H,synthetic
Disintegrin,Mixed,4.44,CDR-H3,P34182.1,NP_001265043.1,real
Cysteine-Rich Secretory Protein,Linear,15.46,Multiple CDRs,CAP74089.1,1CDR_A,real
Kunitz-type Serine Protease Inhibitor,Specific,22.5,Inhibitory Loop,SYN_TOX_KSPI_82,SYN_MAB_96_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,2.72,CDR-H3,XP_026568633.1,1CDS_A,real
Phospholipase A2,Mixed,5.11,CDR-H3,AAB33759.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Mixed,22.84,CDR-H3,AAP20603.1,9MI0_R,real
Cysteine-Rich Secretory Protein,Linear,1.58,CDR-H3,XP_039204466.1,9MIB_R,real
Snake Venom Serine Protease,Linear,1.84,Multiple CDRs,A0A1I9KNP0.1,4V1D_D,real
Snake Venom Serine Protease,Mixed,31.23,Multiple CDRs,Q9I8X1.2,Q9HCN6.4,real
Three-Finger Toxin,Specific,10.4,Loop II,SYN_TOX_3FTx_45,SYN_MAB_84_H,synthetic
Snake Venom Metalloproteinase,Conformational,9.26,CDR-H3,J9Z332.1,8TO9_B,real
Cysteine-Rich Secretory Protein,Linear,32.88,CDR-H3,XP_026568633.1,9CLP_C,real
Snake Venom Serine Protease,Mixed,2.75,CDR-H3,Q8UUJ2.2,1CDR_A,real
Snake Venom Metalloproteinase,Linear,28.78,Multiple CDRs,P14530.3,P00740.2,real
Snake Venom Metalloproteinase,Linear,3.65,Multiple CDRs,J3SBP9.1,4V1D_B,real
Snake Venom Serine Protease,Linear,2.09,CDR-H3,F8S114.1,Q9HCN6.4,real
Disintegrin,Linear,4.05,Multiple CDRs,AAB22478.1,4V1D_A,real
Snake Venom Serine Protease,Mixed,15.3,CDR-H3,E0Y421.1,1CDQ_A,real
Disintegrin,Broad-spectrum,347.8,Multiple epitopes,SYN_TOX_DIS_13,SYN_MAB_91_H,synthetic
Snake Venom Serine Protease,Broad-spectrum,154.5,Multiple epitopes,SYN_TOX_SVSP_116,SYN_MAB_119_H,synthetic
Snake Venom Serine Protease,Linear,3.2,CDR-H3,P85109.1,9CLP_C,real
Kunitz-type Serine Protease Inhibitor,Mixed,14.6,Multiple CDRs,AEI52542.1,9CLP_C,real
Snake Venom Serine Protease,Linear,3.57,CDR-H3,P0DJ86.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Mixed,4.0,CDR-H3,XP_026547764.1,9MI0_P,real
Phospholipase A2,Mixed,7.0,Multiple CDRs,AAB20783.1,4V1D_E,real
Disintegrin,Conformational,5.53,Multiple CDRs,ABD34834.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,27.92,Multiple CDRs,F8S108.1,1CDR_A,real
Phospholipase A2,Conformational,11.57,CDR-H3,XCA51213.1,4V1D_D,real
Snake Venom Serine Protease,Conformational,32.55,Multiple CDRs,NP_001310176.1,NP_000602.1,real
Snake Venom Serine Protease,Linear,10.22,CDR-H3,O93421.2,9CLP_L,real
Snake Venom Metalloproteinase,Mixed,19.67,CDR-H3,A8QL59.1,P13987.1,real
Snake Venom Serine Protease,Conformational,2.78,CDR-H3,D8MIA2.1,1CDQ_A,real
Snake Venom Metalloproteinase,Conformational,11.63,Multiple CDRs,Q2EI26.1,9CLP_C,real
Snake Venom Serine Protease,Conformational,17.21,CDR-H3,E0Y421.1,6IOM_B,real
Snake Venom Metalloproteinase,Linear,8.01,CDR-H3,P0DM89.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Conformational,50.79,CDR-H3,XP_032069593.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,9.09,Multiple CDRs,P14530.3,4V1D_B,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,325.4,Multiple epitopes,SYN_TOX_KSPI_96,SYN_MAB_17_H,synthetic
Snake Venom Metalloproteinase,Conformational,1.54,Multiple CDRs,P17347.3,8SXP_H,real
Snake Venom Metalloproteinase,Broad-spectrum,162.3,Multiple epitopes,SYN_TOX_SVMP_16,SYN_MAB_134_H,synthetic
Phospholipase A2,Broad-spectrum,28.8,Multiple epitopes,SYN_TOX_PLA2_162,SYN_MAB_18_H,synthetic
Snake Venom Metalloproteinase,Conformational,0.82,CDR-H3,P14530.3,4V1D_E,real
Snake Venom Metalloproteinase,Mixed,29.4,CDR-H3,Q90ZI3.1,NP_000602.1,real
Snake Venom Metalloproteinase,Broad-spectrum,277.7,Multiple epitopes,SYN_TOX_SVMP_86,SYN_MAB_98_H,synthetic
Snake Venom Serine Protease,Linear,1.47,CDR-H3,Q072L6.1,6ION_A,real
Snake Venom Metalloproteinase,Conformational,2.32,Multiple CDRs,C0L2T8.1,P13987.1,real
Disintegrin,Conformational,11.21,Multiple CDRs,ABD34835.1,4V1D_A,real
Phospholipase A2,Conformational,8.94,Multiple CDRs,XCA51265.1,1CDR_A,real
Snake Venom Serine Protease,Linear,10.35,CDR-H3,P0CJ41.1,9MI0_P,real
Snake Venom Serine Protease,Conformational,14.94,CDR-H3,E5L0E3.1,1CDS_A,real
Disintegrin,Conformational,5.0,CDR-H3,A43020,6IOM_A,real
Snake Venom Metalloproteinase,Linear,3.74,Multiple CDRs,J9Z332.1,NP_001424713.1,real
Cysteine-Rich Secretory Protein,Conformational,11.45,Multiple CDRs,XP_034288380.1,9MIA_R,real
Snake Venom Metalloproteinase,Linear,99.61,CDR-H3,J9Z332.1,4V1D_B,real
Snake Venom Serine Protease,Mixed,4.18,Multiple CDRs,P18965.2,P13987.1,real
Snake Venom Metalloproteinase,Conformational,34.76,Multiple CDRs,F8S108.1,9B7V_H,real
Phospholipase A2,Conformational,39.83,CDR-H3,AAB28455.1,4V1D_E,real
Snake Venom Serine Protease,Linear,4.29,Multiple CDRs,D8MIA0.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Linear,30.05,Multiple CDRs,XP_034288378.1,9CLP_H,real
Snake Venom Metalloproteinase,Conformational,8.15,Multiple CDRs,U3KRG1.1,NP_001424713.1,real
Snake Venom Serine Protease,Conformational,13.5,Multiple CDRs,Q2PQJ3.1,8SXP_H,real
Snake Venom Serine Protease,Conformational,35.27,Multiple CDRs,D8MIA0.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Conformational,2.97,Multiple CDRs,XP_032069584.1,9CU6_J,real
Snake Venom Metalloproteinase,Linear,2.56,Multiple CDRs,P0C7A9.1,NP_001265042.1,real
Snake Venom Metalloproteinase,Linear,5.16,Multiple CDRs,C0HJU2.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Conformational,8.9,Multiple CDRs,XP_015678374.1,1CDS_A,real
Snake Venom Serine Protease,Conformational,16.73,CDR-H3,D8MIA0.1,NP_000602.1,real
Snake Venom Serine Protease,Mixed,15.18,Multiple CDRs,P0DJF6.1,6ION_A,real
Snake Venom Metalloproteinase,Mixed,1.02,CDR-H3,A8QL49.1,NP_001265043.1,real
Cysteine-Rich Secretory Protein,Broad-spectrum,56.0,Multiple epitopes,SYN_TOX_CRISP_49,SYN_MAB_28_H,synthetic
Phospholipase A2,Linear,3.86,Multiple CDRs,XCA51265.1,9MI0_H,real
Cysteine-Rich Secretory Protein,Linear,7.05,Multiple CDRs,KAG8124481.1,4V1D_D,real
Phospholipase A2,Conformational,19.01,Multiple CDRs,AAB26654.1,1CDQ_A,real
Snake Venom Metalloproteinase,Mixed,2.61,CDR-H3,P84035.1,9MI0_R,real
Snake Venom Metalloproteinase,Linear,14.17,CDR-H3,U3KRG1.1,9CU6_F,real
Disintegrin,Conformational,4.76,Multiple CDRs,AAB30855.1,NP_001455.3,real
Cysteine-Rich Secretory Protein,Conformational,2.49,CDR-H3,XP_026568634.1,6IOM_B,real
Disintegrin,Broad-spectrum,52.6,Multiple epitopes,SYN_TOX_DIS_139,SYN_MAB_98_H,synthetic
Snake Venom Serine Protease,Conformational,3.81,CDR-H3,P81824.2,4V1D_E,real
Cysteine-Rich Secretory Protein,Specific,12.6,Ion Channel Binding Region,SYN_TOX_CRISP_28,SYN_MAB_48_H,synthetic
Snake Venom Serine Protease,Mixed,7.18,Multiple CDRs,P18965.2,4V1D_D,real
Snake Venom Serine Protease,Conformational,6.91,Multiple CDRs,E0Y420.1,9MIA_K,real
Snake Venom Serine Protease,Mixed,128.83,CDR-H3,P0DJ86.1,9CLP_L,real
Three-Finger Toxin,Specific,7.6,Loop II,SYN_TOX_3FTx_45,SYN_MAB_59_H,synthetic
Cysteine-Rich Secretory Protein,Linear,5.65,CDR-H3,KAG8124480.1,8TO9_J,real
Snake Venom Metalloproteinase,Conformational,29.0,Multiple CDRs,P82942.1,8SXP_H,real
Snake Venom Metalloproteinase,Linear,10.17,Multiple CDRs,Q90ZI3.1,6IOM_A,real
Disintegrin,Linear,6.37,CDR-H3,AAB30855.1,8SXP_H,real
Snake Venom Serine Protease,Linear,17.66,Multiple CDRs,E5L0E6.1,4V1D_D,real
Snake Venom Serine Protease,Broad-spectrum,253.5,Multiple epitopes,SYN_TOX_SVSP_53,SYN_MAB_98_H,synthetic
Snake Venom Serine Protease,Linear,21.71,CDR-H3,P0C5B4.2,6ION_A,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,318.0,Multiple epitopes,SYN_TOX_KSPI_145,SYN_MAB_117_H,synthetic
Snake Venom Serine Protease,Broad-spectrum,459.0,Multiple epitopes,SYN_TOX_SVSP_151,SYN_MAB_33_H,synthetic
Snake Venom Metalloproteinase,Mixed,7.28,Multiple CDRs,U5PZ28.1,9CU5_K,real
Snake Venom Serine Protease,Conformational,23.1,CDR-H3,P18965.2,4V1D_B,real
Snake Venom Metalloproteinase,Mixed,10.72,Multiple CDRs,J3SDW8.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Mixed,1.09,CDR-H3,KAG8124481.1,9MI0_R,real
Snake Venom Metalloproteinase,Mixed,6.49,CDR-H3,Q698K8.3,4V1D_E,real
Snake Venom Serine Protease,Conformational,6.02,Multiple CDRs,E0Y419.1,9MIB_P,real
Cysteine-Rich Secretory Protein,Linear,2.76,CDR-H3,XP_034288380.1,P00740.2,real
Phospholipase A2,Linear,4.81,CDR-H3,AAB36471.1,8SXP_L,real
Snake Venom Serine Protease,Mixed,8.62,CDR-H3,P0DL27.1,1CDS_A,real
Snake Venom Serine Protease,Specific,9.4,Exosite,SYN_TOX_SVSP_53,SYN_MAB_116_H,synthetic
Snake Venom Serine Protease,Broad-spectrum,390.3,Multiple epitopes,SYN_TOX_SVSP_123,SYN_MAB_40_H,synthetic
Phospholipase A2,Mixed,6.08,Multiple CDRs,AAB26654.1,9CLP_H,real
Snake Venom Serine Protease,Mixed,2.32,CDR-H3,Q27J47.1,9MIH_L,real
Disintegrin,Mixed,8.8,Multiple CDRs,AAB22477.1,P13987.1,real
Cysteine-Rich Secretory Protein,Linear,7.85,Multiple CDRs,ATU85541.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,1.04,CDR-H3,U5PZ28.1,9CLP_L,real
Snake Venom Metalloproteinase,Linear,13.01,CDR-H3,F8RKW0.1,4V1D_B,real
Snake Venom Serine Protease,Linear,8.19,Multiple CDRs,Q9I8X1.2,1CDS_A,real
Three-Finger Toxin,Specific,28.3,Loop I,SYN_TOX_3FTx_45,SYN_MAB_68_H,synthetic
Disintegrin,Specific,14.3,RGD Motif,SYN_TOX_DIS_97,SYN_MAB_23_H,synthetic
Phospholipase A2,Mixed,5.07,Multiple CDRs,AAB20783.1,9MIB_H,real
Snake Venom Metalloproteinase,Linear,4.82,Multiple CDRs,A8QL49.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Conformational,7.88,Multiple CDRs,P0DL29.1,9MII_L,real
Cysteine-Rich Secretory Protein,Linear,2.92,CDR-H3,BAP39923.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Linear,3.62,Multiple CDRs,XP_026568633.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Specific,17.8,Ion Channel Binding Region,SYN_TOX_CRISP_119,SYN_MAB_4_H,synthetic
Cysteine-Rich Secretory Protein,Linear,5.27,CDR-H3,6IMF_A,9CLP_L,real
Snake Venom Metalloproteinase,Mixed,11.83,Multiple CDRs,Q5XUW8.1,P13987.1,real
Cysteine-Rich Secretory Protein,Mixed,16.05,CDR-H3,CAP74089.1,8SXP_L,real
Snake Venom Metalloproteinase,Conformational,5.03,Multiple CDRs,Q90ZI3.1,Q9HCN6.4,real
Phospholipase A2,Mixed,33.21,Multiple CDRs,AAB33760.1,9MIH_L,real
Snake Venom Serine Protease,Conformational,4.59,CDR-H3,D8MIA1.1,P00740.2,real
Cysteine-Rich Secretory Protein,Linear,7.46,CDR-H3,XP_026547749.1,1CDR_A,real
Snake Venom Serine Protease,Conformational,3.76,CDR-H3,Q5MCS0.1,P13987.1,real
Snake Venom Serine Protease,Linear,3.78,CDR-H3,E0Y420.1,NP_000602.1,real
Snake Venom Metalloproteinase,Linear,4.56,Multiple CDRs,J3S830.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Conformational,2.03,Multiple CDRs,Q9W7S2.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Mixed,13.66,Multiple CDRs,KAG8124483.1,9MI0_K,real
Cysteine-Rich Secretory Protein,Mixed,1.83,Multiple CDRs,BAP39957.1,1CDQ_A,real
Snake Venom Serine Protease,Linear,10.86,CDR-H3,A8QL57.1,4V1D_E,real
Phospholipase A2,Mixed,8.96,CDR-H3,AAB33760.1,P13987.1,real
Snake Venom Serine Protease,Mixed,21.98,Multiple CDRs,D8MIA0.1,8SXP_H,real
Snake Venom Serine Protease,Linear,26.37,CDR-H3,Q5MCS0.1,1CDR_A,real
Disintegrin,Linear,9.8,CDR-H3,A43020,P00740.2,real
Cysteine-Rich Secretory Protein,Conformational,30.15,CDR-H3,XP_058038736.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Mixed,19.96,CDR-H3,XP_013911769.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Mixed,4.26,CDR-H3,6IMF_A,9CLP_C,real
Snake Venom Metalloproteinase,Linear,8.69,Multiple CDRs,Q9PW36.1,1CDQ_A,real
Phospholipase A2,Conformational,3.91,Multiple CDRs,AAB28455.1,NP_000602.1,real
Snake Venom Metalloproteinase,Specific,12.7,Substrate Recognition Site,SYN_TOX_SVMP_128,SYN_MAB_35_H,synthetic
Disintegrin,Linear,25.6,Multiple CDRs,AAB22478.1,NP_001265043.1,real
Snake Venom Serine Protease,Linear,9.29,Multiple CDRs,Q9YGJ9.1,8SXP_H,real
Snake Venom Metalloproteinase,Conformational,4.81,CDR-H3,J3S830.1,NP_001424713.1,real
Snake Venom Metalloproteinase,Conformational,24.79,CDR-H3,J9Z332.1,8SXP_H,real
Phospholipase A2,Linear,42.78,CDR-H3,AAB26654.1,4V1D_A,real
Disintegrin,Mixed,1.94,Multiple CDRs,AAB22478.1,4V1D_B,real
Snake Venom Serine Protease,Mixed,3.38,Multiple CDRs,B5U6Y3.1,8U9Y_E,real
Snake Venom Metalloproteinase,Linear,12.15,Multiple CDRs,C0L2T8.1,9MIB_H,real
Snake Venom Serine Protease,Mixed,2.33,Multiple CDRs,E0Y419.1,9CU6_K,real
Snake Venom Serine Protease,Conformational,21.81,Multiple CDRs,P84788.1,9MIA_H,real
